id,value
id_0,15.767863166327848
id_1,19.23144214201586
id_2,24.96119624157438
id_3,36.9227400909619
id_4,23.628781648729323
id_5,40.963962601104896
id_6,38.19362798054641
id_7,39.900659542937454
id_8,41.6076911053285
id_9,49.804602001962
id_10,41.08657267892094
id_11,32.63612979187915
id_12,43.091813181231515
id_13,44.31293012226231
id_14,39.65637418971849
id_15,42.245194384363145
id_16,24.787976982673083
id_17,27.45520464286528
id_18,23.473544617707887
id_19,33.942783872302115
id_20,31.0627366388235
id_21,31.73236539638042
id_22,22.242215868206557
id_23,21.322845669967766
id_24,23.815757527831448
id_25,14.263918810269447
id_26,7.8465679671868145
id_27,9.858919712251938
id_28,21.07135696731411
id_29,19.21243811502742
id_30,26.715565192512592
id_31,17.646930189701543
id_32,18.549794661982073
id_33,16.485306279182456
id_34,22.05774403445838
id_35,26.630320514908412
id_36,17.90907488197468
id_37,18.90163125379976
id_38,8.825961655793002
id_39,6.047182833748474
id_40,13.490092645577633
id_41,25.177812268215426
id_42,21.22455702370016
id_43,25.173642000683188
id_44,19.012820247219583
id_45,27.15649159274697
id_46,30.85536109896782
id_47,31.709212630586375
id_48,33.399398386943524
id_49,29.814647186717067
id_50,44.96729742574627
id_51,31.108070392025223
id_52,39.9538882296818
id_53,38.7700957697034
id_54,22.051214264460203
id_55,23.906283564604628
id_56,10.4573707403164
id_57,13.91647103119508
id_58,5.576693672758886
id_59,3.7285433147744254
id_60,4.082154496010305
id_61,5.931827143427904
id_62,6.135318487231538
id_63,7.338074758105524
id_64,10.469860097574736
id_65,7.445929452025341
id_66,5.395937029956406
id_67,8.7207617601325
id_68,21.28933134100459
id_69,21.718720065361556
id_70,20.49916956964353
id_71,30.112270908125325
id_72,22.836071142068242
id_73,20.46673014453627
id_74,31.979058511534923
id_75,22.609855737487663
id_76,23.183074903989365
id_77,18.501514451718258
id_78,16.915241080860557
id_79,15.79844050904239
id_80,17.321484658810547
id_81,13.065854810914727
id_82,4.805466148994188
id_83,12.54206655239149
id_84,20.734525773585272
